step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
0,0,0,1,2,10.0,2.0,12.0,0.0,-0.0545
1,0,0,1,3,12.0,2.0,14.0,0.0,-0.0565
2,0,0,1,4,14.0,2.0,16.0,0.0,-0.0585
3,0,0,1,5,16.0,2.0,18.0,0.0,-0.0605
4,0,0,1,6,18.0,2.0,20.0,0.0,-0.0625
5,0,0,1,7,20.0,2.0,22.0,0.0,-0.0645
6,0,0,1,8,22.0,2.0,24.0,0.0,-0.0665
7,0,0,1,9,24.0,2.0,26.0,0.0,-0.0685
8,0,0,1,10,26.0,2.0,28.0,0.0,-0.07050000000000001
9,0,0,1,11,28.0,1.9999916553497314,29.99999165534973,0.0,-0.07249965787003533
10,0,0,1,12,29.99999165534973,1.897773265838623,31.897764921188354,0.0,-0.0704131986065063
11,0,0,1,13,31.897764921188354,1.2569808959960938,33.15474581718445,0.0,-0.05145475554617588
12,0,0,1,14,33.15474581718445,1.1913447380065918,34.34609055519104,0.0,-0.05103911340295099
13,0,0,1,15,34.34609055519104,1.838005781173706,36.184096336364746,0.0,-0.0724667488526444
14,0,0,1,16,36.184096336364746,2.0,38.184096336364746,0.0,-0.08068409633636475
15,0,0,1,17,38.184096336364746,2.0,40.184096336364746,0.0,-0.08268409633636475
16,0,0,1,18,40.184096336364746,2.0,42.184096336364746,0.0,-0.08468409633636476
17,0,0,1,19,42.184096336364746,2.0,44.184096336364746,0.0,-0.08668409633636476
18,0,0,1,20,44.184096336364746,2.0,46.184096336364746,0.0,-0.08868409633636476
19,0,0,2,1,46.184096336364746,2.0,48.184096336364746,0.0,-0.09068409633636476
20,0,0,2,2,48.184096336364746,2.0,50.0,0.0,-0.0925
21,0,0,2,3,50.0,2.0,50.0,0.0,-0.0925
22,0,0,2,4,50.0,2.0,50.0,0.0,-0.0925
23,0,0,2,5,50.0,2.0,50.0,0.0,-0.0925
24,0,0,2,6,50.0,2.0,50.0,0.0,-0.0925
25,0,0,2,7,50.0,2.0,50.0,0.0,-0.0925
26,0,0,2,8,50.0,2.0,50.0,0.0,-0.0925
27,0,0,2,9,50.0,2.0,50.0,0.0,-0.0925
28,0,0,2,10,50.0,1.7620301246643066,50.0,0.0,-0.08354750160224513
29,0,0,2,11,50.0,-1.1693216562271118,48.83067834377289,0.0,-0.06500380970099005
30,0,0,2,12,48.83067834377289,-1.8353945016860962,46.99528384208679,0.0,-0.08318201361028232
31,0,0,2,13,46.99528384208679,-1.95435631275177,45.04092752933502,0.0,-0.08573601350126198
32,0,0,2,14,45.04092752933502,-1.8773521184921265,43.163575410842896,0.0,-0.08090808517891165
33,0,0,2,15,43.163575410842896,-1.1750296354293823,41.98854577541351,0.0,-0.058295492216786586
34,0,0,2,16,41.98854577541351,1.9997615814208984,43.98830735683441,0.0,-0.08647877118210454
35,0,0,2,17,43.98830735683441,2.0,45.98830735683441,0.0,-0.08848830735683441
36,0,0,2,18,45.98830735683441,2.0,47.98830735683441,0.0,-0.09048830735683441
37,0,0,2,19,47.98830735683441,2.0,49.98830735683441,0.0,-0.09248830735683441
38,0,0,2,20,49.98830735683441,2.0,50.0,0.0,-0.0925
39,0,0,3,1,50.0,2.0,50.0,0.0,-0.0925
40,0,0,3,2,50.0,2.0,50.0,0.0,-0.0925
41,0,0,3,3,50.0,2.0,50.0,0.0,-0.0925
42,0,0,3,4,50.0,2.0,50.0,0.0,-0.0925
43,0,0,3,5,50.0,2.0,50.0,0.0,-0.0925
44,0,0,3,6,50.0,2.0,50.0,0.0,-0.0925
45,0,0,3,7,50.0,2.0,50.0,0.0,-0.0925
46,0,0,3,8,50.0,2.0,50.0,0.0,-0.0925
47,0,0,3,9,50.0,2.0,50.0,0.0,-0.0925
48,0,0,3,10,50.0,1.8727645874023438,50.0,0.0,-0.08757247199828272
49,0,0,3,11,50.0,-1.1256567239761353,48.874343276023865,0.0,-0.06404537387835071
50,0,0,3,12,48.874343276023865,-1.8644604682922363,47.00988280773163,0.0,-0.08427201118597669
51,0,0,3,13,47.00988280773163,-1.969288945198059,45.04059386253357,0.0,-0.08632158335932641
52,0,0,3,14,45.04059386253357,-1.9193732738494873,43.12122058868408,0.0,-0.08246115823236108
53,0,0,3,15,43.12122058868408,-1.2645355463027954,41.85668504238129,0.0,-0.06034718652101438
54,0,0,3,16,41.85668504238129,1.9998292922973633,43.85651433467865,0.0,-0.08634968631798438
55,0,0,3,17,43.85651433467865,2.0,45.85651433467865,0.0,-0.08835651433467866
56,0,0,3,18,45.85651433467865,2.0,47.85651433467865,0.0,-0.09035651433467866
57,0,0,3,19,47.85651433467865,2.0,49.85651433467865,0.0,-0.09235651433467865
58,0,0,3,20,49.85651433467865,2.0,50.0,0.0,-0.0925
59,0,0,4,1,50.0,2.0,50.0,0.0,-0.0925
60,0,0,4,2,50.0,2.0,50.0,0.0,-0.0925
61,0,0,4,3,50.0,2.0,50.0,0.0,-0.0925
62,0,0,4,4,50.0,2.0,50.0,0.0,-0.0925
63,0,0,4,5,50.0,2.0,50.0,0.0,-0.0925
64,0,0,4,6,50.0,2.0,50.0,0.0,-0.0925
65,0,0,4,7,50.0,2.0,50.0,0.0,-0.0925
66,0,0,4,8,50.0,2.0,50.0,0.0,-0.0925
67,0,0,4,9,50.0,2.0,50.0,0.0,-0.0925
68,0,0,4,10,50.0,1.9127564430236816,50.0,0.0,-0.08908637210328607
69,0,0,4,11,50.0,-1.145921230316162,48.85407876968384,0.0,-0.06448543343057692
70,0,0,4,12,48.85407876968384,-1.900429606437683,46.953649163246155,0.0,-0.08556997605349503
71,0,0,4,13,46.953649163246155,-1.979772686958313,44.97387647628784,0.0,-0.08666887539654923
72,0,0,4,14,44.97387647628784,-1.9414039850234985,43.03247249126434,0.0,-0.08322296682191556
73,0,0,4,15,43.03247249126434,-1.2929608821868896,41.739511609077454,0.0,-0.06095699003773246
